model_id,model_label,stage,covariate_set,outcome,outcome_label,formula,term_label,p_label,term,estimate,robust_se,statistic,p_value,conf_low,conf_high
S6_z_female_LC_mortality_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,Population aged 65+ (z),<0.001,z_age65,0.5621584419843417,0.07913987929965312,7.103352279017258,6.484929557741781e-11,0.40704427855702163,0.7172726054116618
S6_z_female_LC_mortality_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelAmericas,0.004,WHO_region_modelAmericas,-0.27699571683361607,0.09510918513957162,-2.9123971194488534,0.004203037624635362,-0.4634097197071764,-0.09058171396005571
S6_z_female_LC_mortality_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelEastern Mediterranean,0.035,WHO_region_modelEastern Mediterranean,-0.18093993471274056,0.08501728016918438,-2.1282724447626427,0.035144797202372936,-0.34757380384434194,-0.014306065581139171
S6_z_female_LC_mortality_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelEuropean,0.036,WHO_region_modelEuropean,-0.328111918742439,0.15447815387009287,-2.1240020709877334,0.03550702422502959,-0.630889100327821,-0.025334737157056975
S6_z_female_LC_mortality_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelSouth-East Asia,0.094,WHO_region_modelSouth-East Asia,-0.18647074490548357,0.11040709553652044,-1.6889380523899644,0.0935569543899164,-0.40286865215706363,0.029927162346096492
S6_z_female_LC_mortality_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelWestern Pacific,0.389,WHO_region_modelWestern Pacific,-0.124445777543791,0.1440488633526769,-0.8639136376877105,0.3891790991521671,-0.40678154971503766,0.15788999462745568
S6_z_female_LC_YLL_primary_logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,primary_logGDP,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_logGDP + z_urbanisation + z_age65 + WHO_region_model,Intercept,0.484,(Intercept),0.05514608461027801,0.07854797988963977,0.7020687825168576,0.483702929081792,-0.09880795597341593,0.20910012519397195
S6_z_female_LC_YLL_primary_logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,primary_logGDP,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_logGDP + z_urbanisation + z_age65 + WHO_region_model,Historical female smoking (z),0.001,z_historical_smoking,0.22821671138411234,0.06878353694497524,3.317897298108977,0.0011333530697533695,0.09340097897196087,0.3630324437962638
S6_z_female_LC_YLL_primary_logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,primary_logGDP,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_logGDP + z_urbanisation + z_age65 + WHO_region_model,log GDP per capita (z),0.067,z_logGDP,0.11806872664926349,0.06409318003478995,1.8421418095525213,0.06739022891387506,-0.007553906218924794,0.24369135951745177
S6_z_female_LC_YLL_primary_logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,primary_logGDP,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_logGDP + z_urbanisation + z_age65 + WHO_region_model,Urbanisation (z),0.965,z_urbanisation,0.002502564670664736,0.05760687712658224,0.04344211655781541,0.9654057487496568,-0.11040691449743645,0.11541204383876591
