Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.
z urbanisation,-0.006726232667960782,0.048682750858245284,0.048682750858245284,-0.1381645973035966,-0.1381645973035966,0.8902920067847782,0.8902920067847782,-0.10214442435012154,-0.10214442435012154,0.08869195901419998,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2000,S1 smoke2000,Female smoking 2000,Female smoking 2000,female smoking 2000,female smoking 2000,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z age65,0.5883664318917609,0.07062799876949699,0.07062799876949699,8.33049841624376,8.33049841624376,4.258975621157525e-14,4.258975621157525e-14,0.44993555430354676,0.44993555430354676,0.7267973094799749,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2000,S1 smoke2000,Female smoking 2000,Female smoking 2000,female smoking 2000,female smoking 2000,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorAmericas,-0.278526532572885,0.08500380174122872,0.08500380174122872,-3.276636184117792,-3.276636184117792,0.0012998562982576508,0.0012998562982576508,-0.44513398398569326,-0.44513398398569326,-0.11191908116007673,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2000,S1 smoke2000,Female smoking 2000,Female smoking 2000,female smoking 2000,female smoking 2000,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEastern Mediterranean,-0.13686858679215413,0.07337374709722651,0.07337374709722651,-1.8653618249970458,-1.8653618249970458,0.06404561722375321,0.06404561722375321,-0.2806811311027181,-0.2806811311027181,0.006943957518409816,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2000,S1 smoke2000,Female smoking 2000,Female smoking 2000,female smoking 2000,female smoking 2000,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEuropean,-0.2905992117225889,0.12852049586676892,0.12852049586676892,-2.2611118153779866,-2.2611118153779866,0.02516205084990888,0.02516205084990888,-0.542499383621456,-0.542499383621456,-0.038699039823721804,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2000,S1 smoke2000,Female smoking 2000,Female smoking 2000,female smoking 2000,female smoking 2000,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorSouth-East Asia,-0.20866474653577838,0.10489912107545105,0.10489912107545105,-1.9891944221886433,-1.9891944221886433,0.048462497513708014,0.048462497513708014,-0.41426702384366243,-0.41426702384366243,-0.0030624692278943266,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2000,S1 smoke2000,Female smoking 2000,Female smoking 2000,female smoking 2000,female smoking 2000,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorWestern Pacific,0.027865161184011673,0.15272276587651484,0.15272276587651484,0.18245584424880218,0.18245584424880218,0.8554665352150539,0.8554665352150539,-0.27147145993395744,-0.27147145993395744,0.32720178230198077,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2000,S1 smoke2000,Female smoking 2000,Female smoking 2000,female smoking 2000,female smoking 2000,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
(Intercept),0.12532802808433888,0.06712238149849474,0.06712238149849474,1.8671570538233873,1.8671570538233873,0.06379289982245129,0.06379289982245129,-0.006231839652710819,-0.006231839652710819,0.2568878958213886,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2005,S1 smoke2005,Female smoking 2005,Female smoking 2005,female smoking 2005,female smoking 2005,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
smoking z,0.17946752619958292,0.054876623750301765,0.054876623750301765,3.2703820668011856,3.2703820668011856,0.0013269990774842522,0.0013269990774842522,0.07190934364899147,0.07190934364899147,0.28702570875017436,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2005,S1 smoke2005,Female smoking 2005,Female smoking 2005,female smoking 2005,female smoking 2005,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z logGDP,0.15119059154208347,0.05503683094066222,0.05503683094066222,2.747080254404348,2.747080254404348,0.006735032916899548,0.006735032916899548,0.04331840289838554,0.04331840289838554,0.25906278018578144,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2005,S1 smoke2005,Female smoking 2005,Female smoking 2005,female smoking 2005,female smoking 2005,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z urbanisation,2.1163720074109796e-4,0.04837148969687933,0.04837148969687933,0.004375246701462487,0.004375246701462487,0.9965147688543771,0.9965147688543771,-0.09459648260514239,-0.09459648260514239,0.09501975700662457,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2005,S1 smoke2005,Female smoking 2005,Female smoking 2005,female smoking 2005,female smoking 2005,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z age65,0.5888063875162772,0.07338224926433705,0.07338224926433705,8.0238258355271,8.0238258355271,2.50043074229761e-13,2.50043074229761e-13,0.4449771789581766,0.4449771789581766,0.7326355960743778,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2005,S1 smoke2005,Female smoking 2005,Female smoking 2005,female smoking 2005,female smoking 2005,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorAmericas,-0.2610332081036063,0.08527047129754296,0.08527047129754296,-3.061238012778849,-3.061238012778849,0.002604251756583907,0.002604251756583907,-0.4281633318467905,-0.4281633318467905,-0.0939030843604221,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2005,S1 smoke2005,Female smoking 2005,Female smoking 2005,female smoking 2005,female smoking 2005,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
