"Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit."
Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.
Model id,Model label,Model label,Stage,Stage,Covariate set,Outcome,Outcome label,Outcome label,Formula,Formula,Term label,P label,Term,Term,Estimate,Estimate,Robust se,Statistic,P value,P value,Conf low,Conf low,Conf high
S6 z female LC mortality sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,WHO region modelSouth-East Asia,0.815,WHO region modelSouth-East Asia,WHO region modelSouth-East Asia,0.05430088762117748,0.05430088762117748,0.23135225292621542,0.23471086593868407,0.8147449342364461,0.8147449342364461,-0.39914952811420473,-0.39914952811420473,0.5077513033565597
S6 z female LC mortality sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,WHO region modelWestern Pacific,0.569,WHO region modelWestern Pacific,WHO region modelWestern Pacific,0.08355023707355333,0.08355023707355333,0.14656711939048653,0.5700476165527782,0.5694760936079992,0.5694760936079992,-0.20372131693180026,-0.20372131693180026,0.3708217910789069
S6 z female LC mortality sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,Intercept,0.051,(Intercept),(Intercept),0.15073917640177475,0.15073917640177475,0.07652007013410773,1.969929929985583,0.05090850170002711,0.05090850170002711,7.598389389235904e-4,7.598389389235904e-4,0.3007185138646259
S6 z female LC mortality sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,Historical female smoking (z),<0.001,z historical smoking,z historical smoking,0.23535247158710723,0.23535247158710723,0.06597027186144637,3.567553459252142,5.004992481858473e-4,5.004992481858473e-4,0.10605073873867235,0.10605073873867235,0.3646542044355421
S6 z female LC mortality sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,HDI (z),0.051,z HDI,z HDI,0.15810859282615244,0.15810859282615244,0.08026883572410816,1.9697382103508658,0.05093073387231079,0.05093073387231079,7.816748069004453e-4,7.816748069004453e-4,0.31543551084540444
S6 z female LC mortality sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,Urbanisation (z),0.810,z urbanisation,z urbanisation,-0.011677499015093603,-0.011677499015093603,0.04843618234196816,-0.2410904090798973,0.8098535512887295,0.8098535512887295,-0.1066124164053512,-0.1066124164053512,0.083257418375164
S6 z female LC mortality sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,Population aged 65+ (z),<0.001,z age65,z age65,0.5621584419843417,0.5621584419843417,0.07913987929965312,7.103352279017258,6.484929557741781e-11,6.484929557741781e-11,0.40704427855702163,0.40704427855702163,0.7172726054116618
S6 z female LC mortality sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,WHO region modelAmericas,0.004,WHO region modelAmericas,WHO region modelAmericas,-0.27699571683361607,-0.27699571683361607,0.09510918513957162,-2.9123971194488534,0.004203037624635362,0.004203037624635362,-0.4634097197071764,-0.4634097197071764,-0.09058171396005571
S6 z female LC mortality sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,WHO region modelEastern Mediterranean,0.035,WHO region modelEastern Mediterranean,WHO region modelEastern Mediterranean,-0.18093993471274056,-0.18093993471274056,0.08501728016918438,-2.1282724447626427,0.035144797202372936,0.035144797202372936,-0.34757380384434194,-0.34757380384434194,-0.014306065581139171
S6 z female LC mortality sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,WHO region modelEuropean,0.036,WHO region modelEuropean,WHO region modelEuropean,-0.328111918742439,-0.328111918742439,0.15447815387009287,-2.1240020709877334,0.03550702422502959,0.03550702422502959,-0.630889100327821,-0.630889100327821,-0.025334737157056975
