"Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit."
Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.
Model id,Model label,Model label,Stage,Stage,Model code,Outcome,Outcome label,Outcome label,Formula,Formula,Term label,P label,Term,Term,Estimate,Estimate,Robust se,Statistic,P value,P value,Conf low,Conf low,Conf high
S7 DALY-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,income group modelLower-middle-income,0.874,income group modelLower-middle-income,income group modelLower-middle-income,0.016944860150629272,0.016944860150629272,0.10706879628473669,0.15826142385654957,0.874458141651841,0.874458141651841,-0.19290998056745465,-0.19290998056745465,0.22679970086871318
S7 DALY-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,income group modelLow-income,0.263,income group modelLow-income,income group modelLow-income,0.14424805295910434,0.14424805295910434,0.12831878768755073,1.1241382151329273,0.26270359143593885,0.26270359143593885,-0.10725677090849509,-0.10725677090849509,0.3957528768267038
S7 DALY-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,Intercept,0.853,(Intercept),(Intercept),-0.013188826032295615,-0.013188826032295615,0.07108053039109449,-0.18554765924971223,0.8530452572089098,0.8530452572089098,-0.15250666559884082,-0.15250666559884082,0.12612901353424957
S7 DALY-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,Clean-fuel deficit (z),0.784,z clean fuel deficit,z clean fuel deficit,-0.016214494776841698,-0.016214494776841698,0.059123584985772575,-0.27424748991021997,0.7842643608476058,0.7842643608476058,-0.13209672134895595,-0.13209672134895595,0.09966773179527255
S7 DALY-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,PM2.5 (z),0.184,z PM2.5,z PM2.5,0.05411991129695501,0.05411991129695501,0.040588699671056154,1.3333738635521744,0.18439094526071462,0.18439094526071462,-0.02543394005831505,-0.02543394005831505,0.13367376265222508
S7 DALY-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelAmericas,0.774,WHO region modelAmericas,WHO region modelAmericas,0.035054827451072995,0.035054827451072995,0.12159960410735997,0.28828076956667703,0.7735219910543294,0.7735219910543294,-0.20328039659935254,-0.20328039659935254,0.27339005150149853
S7 DALY-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelEastern Mediterranean,0.484,WHO region modelEastern Mediterranean,WHO region modelEastern Mediterranean,-0.08655363835788774,-0.08655363835788774,0.1233620565878102,-0.701622855130322,0.48398026388933646,0.48398026388933646,-0.3283432692699957,-0.3283432692699957,0.15523599255422024
S7 DALY-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelEuropean,0.790,WHO region modelEuropean,WHO region modelEuropean,0.03685127347941603,0.03685127347941603,0.13841422557575842,0.26623906123902114,0.790413555639075,0.790413555639075,-0.23444060864907046,-0.23444060864907046,0.3081431556079025
S7 DALY-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelSouth-East Asia,0.903,WHO region modelSouth-East Asia,WHO region modelSouth-East Asia,-0.013760794413969286,-0.013760794413969286,0.11307923580301558,-0.1216916113400398,0.903302939190933,0.903302939190933,-0.23539609658787983,-0.23539609658787983,0.20787450775994123
S7 DALY-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelWestern Pacific,0.787,WHO region modelWestern Pacific,WHO region modelWestern Pacific,0.039651882674448025,0.039651882674448025,0.14623471133252322,0.27115232979318826,0.7866393607303152,0.7866393607303152,-0.2469681515372975,-0.2469681515372975,0.32627191688619356
Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.,Subtable 2. Residual mismatch model fit.
Model id,Model label,Model label,Stage,Stage,Model code,Outcome,Outcome label,Outcome label,Formula,Formula,N,N available,R-squared,R-squared,Adjusted R-squared,Adjusted R-squared,Sigma,AIC,BIC,BIC,F statistic,F statistic,F p value
S7 mortality-based smoking-adjusted burden residual A clean fuel,Model A: clean-fuel deficit only,Model A: clean-fuel deficit only,Step 7,Step 7,A clean fuel,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit,161,161,4.112269454782078e-4,4.112269454782078e-4,-0.005875494897632061,-0.005875494897632061,0.43371287007301146,191.89571925268606,201.13993234763944,201.13993234763944,0.06541198350120792,0.06541198350120792,0.7984685352285422
S7 mortality-based smoking-adjusted burden residual B PM2.5,Model B: PM2.5 only,Model B: PM2.5 only,Step 7,Step 7,B PM2.5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z PM2.5,mortality-based smoking-adjusted burden residual ~ z PM2.5,163,163,0.003527155020834748,0.003527155020834748,-0.0026621173082281846,-0.0026621173082281846,0.43347727503450084,194.05300516404287,203.33425576646317,203.33425576646317,0.5698820205845828,0.5698820205845828,0.4514086655861298
S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,161,161,0.0032221149234975903,0.0032221149234975903,-0.009395326659749292,-0.009395326659749292,0.43447104699506056,193.44234235253032,205.76795981246818,205.76795981246818,0.25536991015483174,0.25536991015483174,0.7749490048663332
S7 mortality-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,161,161,0.004043497155808013,0.004043497155808013,-0.014987518822106471,-0.014987518822106471,0.43567290005729237,195.30961764251086,210.71663946743317,210.71663946743317,0.21246880148177552,0.21246880148177552,0.8876492042275517
S7 mortality-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,160,160,0.015233918392070181,0.015233918392070181,-0.016739006335459994,-0.016739006335459994,0.43727608503817744,197.24397342908085,218.77019013571766,218.77019013571766,0.4764630862485052,0.4764630862485052,0.7934103556587152
S7 mortality-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,161,161,0.007837205871980266,0.007837205871980266,-0.037555863140412926,-0.037555863140412926,0.4404898849895283,202.69517982123347,230.42781910609364,230.42781910609364,0.17265203791002934,0.17265203791002934,0.9903786162334549
S7 YLL-based smoking-adjusted burden residual A clean fuel,Model A: clean-fuel deficit only,Model A: clean-fuel deficit only,Step 7,Step 7,A clean fuel,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit,161,161,4.078879652988417e-5,4.078879652988417e-5,-0.006248262846259234,-0.006248262846259234,0.5014955950292809,238.65401490944,247.8982280043934,247.8982280043934,0.006485683191463637,0.006485683191463637,0.9359140409796614
S7 YLL-based smoking-adjusted burden residual B PM2.5,Model B: PM2.5 only,Model B: PM2.5 only,Step 7,Step 7,B PM2.5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z PM2.5,YLL-based smoking-adjusted burden residual ~ z PM2.5,163,163,0.0029101433563718084,0.0029101433563718084,-0.0032829613432778793,-0.0032829613432778793,0.49932913280242563,240.15791060664006,249.43916120906033,249.43916120906033,0.4699005583639393,0.4699005583639393,0.49401875009975305
S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,161,161,0.0033910453534579032,0.0033910453534579032,-0.009224257869916208,-0.009224257869916208,0.502236638067142,240.1136959549975,252.43931341493536,252.43931341493536,0.26880410985087455,0.26880410985087455,0.7646417692352976
S7 YLL-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,161,161,0.0033923255013205834,0.0033923255013205834,-0.015651133247061688,-0.015651133247061688,0.5038332553549387,242.11348914977333,257.52051097469564,257.52051097469564,0.17813599651947334,0.17813599651947334,0.9110940050802308
S7 YLL-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,160,160,0.00761746834307074,0.00761746834307074,-0.024602743723712628,-0.024602743723712628,0.5074824936306382,244.89115610378087,266.41737281041765,266.41737281041765,0.23641893874819553,0.23641893874819553,0.9459282521178465
S7 YLL-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,161,161,0.006436547893267716,0.006436547893267716,-0.03902060351030823,-0.03902060351030823,0.5095967277924469,249.62094840208923,277.35358768694937,277.35358768694937,0.14159593583247215,0.14159593583247215,0.9947632380104691
S7 DALY-based smoking-adjusted burden residual A clean fuel,Model A: clean-fuel deficit only,Model A: clean-fuel deficit only,Step 7,Step 7,A clean fuel,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit,161,161,2.6101152037128153e-5,2.6101152037128153e-5,-0.006263042865874535,-0.006263042865874535,0.4988378274494097,236.9429790583886,246.18719215334198,246.18719215334198,0.004150191498682667,0.004150191498682667,0.9487151514211567
S7 DALY-based smoking-adjusted burden residual B PM2.5,Model B: PM2.5 only,Model B: PM2.5 only,Step 7,Step 7,B PM2.5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z PM2.5,DALY-based smoking-adjusted burden residual ~ z PM2.5,163,163,0.0029560734236272566,0.0029560734236272566,-0.0032367459961015754,-0.0032367459961015754,0.4966858828932966,238.42761240886594,247.7088630112862,247.7088630112862,0.4773388699515163,0.4773388699515163,0.4906250946034092
S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,161,161,0.0033738614209987516,0.0033738614209987516,-0.0092416593205078,-0.0092416593205078,0.4995755811812732,238.40307131691847,250.72868877685633,250.72868877685633,0.2674373488125944,0.2674373488125944,0.7656840265585889
S7 DALY-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,161,161,0.003375896078622968,0.003375896078622968,-0.01566787660777269,-0.01566787660777269,0.5011635492308195,240.4027426277549,255.8097644526772,255.8097644526772,0.17727034103040937,0.17727034103040937,0.9116735336729841
S7 DALY-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,160,160,0.0077580233989523375,0.0077580233989523375,-0.024457625191990795,-0.024457625191990795,0.504753825224867,243.16591469794702,264.6921314045838,264.6921314045838,0.24081537197836758,0.24081537197836758,0.9438152916645298
S7 DALY-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,161,161,0.006432783866918858,0.006432783866918858,-0.03902453974701303,-0.03902453974701303,0.5068932642706356,247.908157694141,275.64079697900115,275.64079697900115,0.14151259589219037,0.14151259589219037,0.9947728111736933
Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.,Subtable 3. Residual mismatch diagnostics.
Model id,Model id,Stage,Stage,Model code,Model code,Outcome,Outcome,Residual mean,Residual mean,Residual sd,Residual sd,Shapiro w,Shapiro w,Shapiro p,Shapiro p,Breusch pagan statistic,Breusch pagan statistic,Breusch pagan p,Breusch pagan p,Max cooks distance,Max cooks distance,N cooks gt 4 over N,N cooks gt 4 over N
S7 mortality-based smoking-adjusted burden residual A clean fuel,S7 mortality-based smoking-adjusted burden residual A clean fuel,Step 7,Step 7,A clean fuel,A clean fuel,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,2.999672746419097e-17,2.999672746419097e-17,0.43235539297151176,0.43235539297151176,0.8323444050252902,0.8323444050252902,2.6343101729840397e-12,2.6343101729840397e-12,5.482453322302258,5.482453322302258,0.01920828206201512,0.01920828206201512,0.18520686706799872,0.18520686706799872,6,6
S7 mortality-based smoking-adjusted burden residual B PM2.5,S7 mortality-based smoking-adjusted burden residual B PM2.5,Step 7,Step 7,B PM2.5,B PM2.5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,7.547843038208136e-19,7.547843038208136e-19,0.43213731116383397,0.43213731116383397,0.8299017729165155,0.8299017729165155,1.705086500380097e-12,1.705086500380097e-12,6.016030567795265,6.016030567795265,0.014176497239791827,0.014176497239791827,0.22445253495568154,0.22445253495568154,8,8
S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,Step 7,Step 7,C clean fuel PM2.5,C clean fuel PM2.5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,-2.3246024815189084e-17,-2.3246024815189084e-17,0.4317470637346846,0.4317470637346846,0.8275653508277248,0.8275653508277248,1.67620354929656e-12,1.67620354929656e-12,8.500372054540854,8.500372054540854,0.014261580619300203,0.014261580619300203,0.16861035233604638,0.16861035233604638,6,6
S7 mortality-based smoking-adjusted burden residual D add rural,S7 mortality-based smoking-adjusted burden residual D add rural,Step 7,Step 7,D add rural,D add rural,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,1.0369535172513341e-17,1.0369535172513341e-17,0.43156913921439083,0.43156913921439083,0.8292113612151207,0.8292113612151207,1.9567049601679823e-12,1.9567049601679823e-12,9.648706245478136,9.648706245478136,0.021800880363264163,0.021800880363264163,0.13496725204914004,0.13496725204914004,3,3
S7 mortality-based smoking-adjusted burden residual E income sensitivity,S7 mortality-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,E income sensitivity,E income sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,8.537710943497082e-18,8.537710943497082e-18,0.43034575597578323,0.43034575597578323,0.8336855993703602,0.8336855993703602,3.314089718756447e-12,3.314089718756447e-12,14.139354977087514,14.139354977087514,0.014748030555828748,0.014748030555828748,0.11900122898509269,0.11900122898509269,4,4
S7 mortality-based smoking-adjusted burden residual E region sensitivity,S7 mortality-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,E region sensitivity,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,-7.38861052708299e-18,-7.38861052708299e-18,0.43074640765367567,0.43074640765367567,0.8279332506798005,0.8279332506798005,1.735034265717591e-12,1.735034265717591e-12,12.001481086610333,12.001481086610333,0.10051017268842939,0.10051017268842939,0.25766227106242423,0.25766227106242423,5,5
S7 YLL-based smoking-adjusted burden residual A clean fuel,S7 YLL-based smoking-adjusted burden residual A clean fuel,Step 7,Step 7,A clean fuel,A clean fuel,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,-8.15004842753385e-18,-8.15004842753385e-18,0.4999259649036159,0.4999259649036159,0.8369202548788169,0.8369202548788169,4.095178562750468e-12,4.095178562750468e-12,4.897941721450644,4.897941721450644,0.026888726014240905,0.026888726014240905,0.19517607398261946,0.19517607398261946,6,6
S7 YLL-based smoking-adjusted burden residual B PM2.5,S7 YLL-based smoking-adjusted burden residual B PM2.5,Step 7,Step 7,B PM2.5,B PM2.5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,-3.6280333450684445e-17,-3.6280333450684445e-17,0.4977856078333868,0.4977856078333868,0.8279158036463048,0.8279158036463048,1.412945006780525e-12,1.412945006780525e-12,5.120092190749562,5.120092190749562,0.02365036017242468,0.02365036017242468,0.23922667684622387,0.23922667684622387,8,8
