"Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit."
Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.
Model id,Model label,Model label,Stage,Stage,Model code,Outcome,Outcome label,Outcome label,Formula,Formula,Term label,P label,Term,Term,Estimate,Estimate,Robust se,Statistic,P value,P value,Conf low,Conf low,Conf high
S7 mortality-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,Clean-fuel deficit (z),0.793,z clean fuel deficit,z clean fuel deficit,0.01303947626046901,0.01303947626046901,0.04953227120394562,0.26325213731427516,0.7927104370690962,0.7927104370690962,-0.08404377529926439,-0.08404377529926439,0.11012272782020242
S7 mortality-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,PM2.5 (z),0.179,z PM2.5,z PM2.5,0.04596044132225708,0.04596044132225708,0.034064254203791514,1.3492278752764082,0.17925705201480788,0.17925705201480788,-0.02080549691717428,-0.02080549691717428,0.11272637956168843
S7 mortality-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelAmericas,0.505,WHO region modelAmericas,WHO region modelAmericas,0.07263942920076308,0.07263942920076308,0.10871176961953113,0.6681836700385447,0.5050231084607003,0.5050231084607003,-0.14043563925351793,-0.14043563925351793,0.2857144976550441
S7 mortality-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelEastern Mediterranean,0.774,WHO region modelEastern Mediterranean,WHO region modelEastern Mediterranean,-0.030234274771381582,-0.030234274771381582,0.10515579563821524,-0.2875188627301297,0.7741041224621691,0.7741041224621691,-0.23633963422228343,-0.23633963422228343,0.17587108467952028
S7 mortality-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelEuropean,0.487,WHO region modelEuropean,WHO region modelEuropean,0.08529497126389696,0.08529497126389696,0.12254177044961845,0.6960481389402232,0.4874546762051609,0.4874546762051609,-0.1548868988173552,-0.1548868988173552,0.3254768413451491
S7 mortality-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelSouth-East Asia,0.934,WHO region modelSouth-East Asia,WHO region modelSouth-East Asia,0.007984567544471717,0.007984567544471717,0.09669494209028913,0.08257482110094351,0.9342975540299894,0.9342975540299894,-0.18153751895249498,-0.18153751895249498,0.1975066540414384
S7 mortality-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelWestern Pacific,0.597,WHO region modelWestern Pacific,WHO region modelWestern Pacific,0.06369145818666117,0.06369145818666117,0.1203348209177466,0.5292853531580579,0.5973746127777151,0.5973746127777151,-0.17216479081212216,-0.17216479081212216,0.2995477071854445
S7 YLL-based smoking-adjusted burden residual A clean fuel,Model A: clean-fuel deficit only,Model A: clean-fuel deficit only,Step 7,Step 7,A clean fuel,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit,Intercept,0.939,(Intercept),(Intercept),0.0029350200559154723,0.0029350200559154723,0.03843359768372396,0.0763659983139806,0.939223925564149,0.939223925564149,-0.07239483140418349,-0.07239483140418349,0.07826487151601444
S7 YLL-based smoking-adjusted burden residual A clean fuel,Model A: clean-fuel deficit only,Model A: clean-fuel deficit only,Step 7,Step 7,A clean fuel,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit,Clean-fuel deficit (z),0.923,z clean fuel deficit,z clean fuel deficit,-0.00324885368346771,-0.00324885368346771,0.03341339482867465,-0.09723207414649213,0.9226645531253679,0.9226645531253679,-0.06873910754767001,-0.06873910754767001,0.062241400180734596
S7 YLL-based smoking-adjusted burden residual B PM2.5,Model B: PM2.5 only,Model B: PM2.5 only,Step 7,Step 7,B PM2.5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z PM2.5,YLL-based smoking-adjusted burden residual ~ z PM2.5,Intercept,0.984,(Intercept),(Intercept),-8.148176425497607e-4,-8.148176425497607e-4,0.040037388887837914,-0.020351418141488154,0.98378823841624,0.98378823841624,-0.07928809986271207,-0.07928809986271207,0.07765846457761255
