Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.
Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.
Group type,Group,Group N,Variable,Label,Domain,Unit,N,Median,Q1,Q3,Iqr,Min,Max,Range,Median iqr,Notes
WHO region,Eastern Mediterranean,22,rural clean fuel disadvantage,Rural clean-fuel disadvantage,Household energy,percentage points,19,0.6999999999999886,0.0,9.35,9.35,0.0,68.10000000000001,0.00 to 68.10,0.70 (0.00-9.35),Urban clean fuel access minus rural clean fuel access in 2020.
WHO region,Eastern Mediterranean,22,PM2.5 2019,PM2.5,Ambient pollution,ug/m3,22,33.249539999999996,25.32363,51.3955825,26.071952500000002,13.44048,64.07714,13.44 to 64.08,33.25 (25.32-51.40),National annual mean PM2.5 in 2019.
WHO region,Eastern Mediterranean,22,female LC mort 2021,Female lung cancer mortality,Lung cancer burden,"per 100,000",22,2.1351687908172607,1.632036954164505,4.010245978832245,2.37820902466774,0.9430528879165648,17.36453628540039,0.94 to 17.36,2.14 (1.63-4.01),"Female trachea, bronchus, lung cancer mortality rate in 2021."
WHO region,Eastern Mediterranean,22,female LC YLL 2021,Female lung cancer YLL,Lung cancer burden,"per 100,000",22,60.86659622192383,46.0056438446045,107.86285018920898,61.857206344604485,26.027143478393555,377.34967041015625,26.03 to 377.35,60.87 (46.01-107.86),"Female trachea, bronchus, lung cancer years of life lost rate in 2021."
WHO region,Eastern Mediterranean,22,female LC DALY 2021,Female lung cancer DALY,Lung cancer burden,"per 100,000",22,61.63394189169288,46.76362425601624,109.3251798778993,62.56155562188306,26.582370328643705,380.6053225545575,26.58 to 380.61,61.63 (46.76-109.33),"Female trachea, bronchus, lung cancer disability-adjusted life years rate in 2021."
WHO region,Eastern Mediterranean,22,multiple-exposure score,multiple-exposure score,Composite exposure,z-score index,15,0.3246695369148929,-0.16085342310661754,0.48797559618349784,0.6488290192901154,-0.7243979771712489,1.06884161007368,-0.72 to 1.07,0.32 (-0.16-0.49),"Mean of z-current smoking, z-clean-fuel deficit, and z-PM2.5; complete cases only."
WHO region,Eastern Mediterranean,22,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,16,-0.023394071277999452,-0.07579785781733116,0.04337216107923497,0.11917001889656613,-0.1844399827488719,0.3372795609496559,-0.18 to 0.34,-0.02 (-0.08-0.04),Residual from Step 6 primary mortality model; positive values indicate mortality burden residual above first-stage expectation.
WHO region,Eastern Mediterranean,22,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,16,-0.01446032489418365,-0.057764614247226426,0.03313703707425695,0.09090165132148337,-0.1658460138845759,0.2683773746583013,-0.17 to 0.27,-0.01 (-0.06-0.03),Residual from Step 6 primary YLL model; positive values indicate excess YLL burden above first-stage expectation.
WHO region,Eastern Mediterranean,22,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,16,-0.013889254421013601,-0.0575986368148961,0.031153516744059896,0.08875215355895599,-0.1667995393333072,0.2736450747055969,-0.17 to 0.27,-0.01 (-0.06-0.03),Residual from Step 6 primary DALY model; positive values indicate excess DALY burden above first-stage expectation.
WHO region,European,53,historical female smoking,Historical female smoking,Tobacco exposure,%,49,23.866666666666664,15.733333333333334,29.4,13.666666666666664,0.2666666666666666,40.73333333333333,0.27 to 40.73,23.87 (15.73-29.40),"Mean of female smoking prevalence in 2000, 2005, and 2010."
