ISO3,Country,WHO region,Income group,Main typology,Kmeans cluster 4,Hierarchical cluster 4,PC1,PC2,Z current smoking cluster,Z clean fuel deficit cluster,Z PM2.5 cluster
COG,Congo,African,Lower-middle-income,double exposure,K2,H4,-1.2839645950845286,-0.3466396015400064,-0.8095468177586079,0.8885349499953067,0.5911938111383884
COK,Cook Islands,Western Pacific,NA,single exposure,K4,H3,1.4564177036790824,-0.6353430587737869,1.2429364393562585,-0.20013095604813375,-0.9862836863803368
COL,Colombia,Americas,Upper-middle-income,low exposure,K1,H2,0.3936577543036149,0.26411837653771403,-0.47228431072095384,-0.596009467336658,-0.5327213291178867
COM,Comoros,African,Lower-middle-income,single exposure,K2,H4,-0.8930717820090206,-1.5347493788602415,-0.693913958202841,1.6134206024222664,-0.508212428066355
CPV,Cabo Verde,African,Upper-middle-income,single exposure,K1,H2,-0.6270854486142682,0.7020752197538469,-0.6360975284249573,-0.33119884154230744,0.7073615496625903
CRI,Costa Rica,Americas,High-income,low exposure,K1,H2,0.4378565510469782,0.39881903995842805,-0.46264823909130665,-0.7297522076368351,-0.4847104232109562
CUB,Cuba,Americas,Upper-middle-income,low exposure,K1,H2,0.7599577909654234,0.22640889477968734,0.019155342391056412,-0.6976539499647926,-0.5847925584862456
CYP,Cyprus,European,High-income,single exposure,K4,H3,1.569852769874606,0.11655653187835369,1.4067496570602618,-0.8394212546829801,-0.49774987445610586
CZE,Czechia,European,High-income,single exposure,K4,H3,1.7209453417332041,0.06082670434904297,1.6572875194310908,-0.8394212546829801,-0.5104786720338069
DEU,Germany,European,High-income,single exposure,K4,H3,1.492333684935072,0.06427828581157291,0.963490362096488,-0.8394212546829801,-0.7731367116245639
DNK,Denmark,European,High-income,single exposure,K4,H3,1.3661557376672315,0.08534603108916017,0.6551360699477757,-0.8394212546829801,-0.8513043041109006
DOM,Dominican Republic,Americas,Upper-middle-income,low exposure,K1,H2,0.7890225123952013,0.03135593186008734,-0.33737930790589227,-0.6334574346207075,-1.0019887934510865
DZA,Algeria,African,Upper-middle-income,low exposure,K1,H2,-0.09419820754862696,0.8523923719599744,-0.8384550326475498,-0.8313966902649695,0.0964149147144438
ECU,Ecuador,Americas,Upper-middle-income,low exposure,K1,H2,0.22946041478167492,0.47392058813898336,-0.6457336000546046,-0.6949790951587888,-0.34989182422139375
EGY,Egypt,Eastern Mediterranean,Lower-middle-income,single exposure,K3,H2,-1.9784567629400445,2.351994326162413,-0.8577271759068442,-0.8367463998769767,3.04102609326469
ESP,Spain,European,High-income,single exposure,K4,H3,2.0076784443974294,-0.14234594106583304,1.7536482357275633,-0.8394212546829801,-0.8742162852559935
EST,Estonia,European,High-income,single exposure,K4,H3,1.816378674619495,-0.13884158157315457,1.1754839379487276,-0.8394212546829801,-1.0918579165867002
ETH,Ethiopia,African,NA,single exposure,K2,H4,-1.3326609823643942,-1.2853095998400108,-0.8095468177586079,1.6695925533483404,0.032507562358452397
FIN,Finland,European,High-income,single exposure,K4,H3,1.5493610551060901,-0.06524217329747128,0.6358639266884811,-0.8394212546829801,-1.156126121914716
